id,anganwadi_centers,anganwadi_workers,anganwadi_helpers,aadhar_verified_beneficiaries,eligible_beneficiaries
26712,1707,1621,1498,76124,76131
26713,1886,1867,1786,172062,172086
26714,0,0,0,0,0
26715,1663,1635,1588,118275,118323
26716,1475,1228,1288,96815,96828
26717,2031,1954,1899,104799,104839
26718,2075,2027,1376,55147,50344
26719,0,0,0,0,0
26720,2903,2818,2550,110854,110883
26721,2934,2851,2508,115080,115132
26722,2824,2759,2188,93594,93637
26723,3385,3253,2665,102460,102485
26724,2492,2460,2049,101759,101789
26725,776,765,682,95212,95238
26726,2499,2445,2101,74653,74662
26727,1626,1607,1507,85500,85515
26728,2389,2313,2116,126188,120653
26986,2444,2339,2067,157141,157306
26987,1358,1305,1173,120842,120901
26988,5656,5452,4804,401819,401824
26989,1277,1183,972,56734,56734
26990,1586,1455,1183,52381,52387
26991,2877,2489,2137,224185,224222
26992,2051,1831,1699,133936,134218
26993,1444,1337,1189,46073,46075
26994,2014,1971,1793,72071,72090
26995,1858,1770,1524,55428,55431
26996,2428,2350,2137,127487,127495
26997,2131,2064,2027,119806,119807
26998,1771,1695,1533,120156,120165
26999,1622,1562,1336,127761,127766
27000,1248,1195,1162,89000,89001
27001,2691,2441,1893,78409,78412
27002,1991,1932,1824,130027,130028
27003,3420,3217,2638,232700,232826
27004,888,810,704,25407,25408
27005,2180,2050,1725,95999,96008
27006,1960,1856,1711,148059,148082
27007,2558,2454,2007,79066,79068
27008,2933,2762,2515,138357,138370
27009,2856,2754,2353,226181,185367
27010,2563,2461,2047,103262,103263
27011,4199,3874,3276,151262,151262
27012,1222,1211,1089,51914,51915
27013,2782,2692,2464,86772,86775
27014,1591,1564,1426,121255,121325
27015,2755,2505,1915,233179,233228
27016,1568,1409,1218,156351,130337
27017,2150,2149,2134,75753,76198
27018,2858,2857,2848,141538,142142
27019,1561,1552,1536,48738,48836
27020,2504,2504,2499,102361,102727
27021,1348,1348,1347,80371,81232
27022,2723,2720,2709,115329,115703
27023,2050,2050,2043,61527,61670
27024,2938,2930,2919,198871,199872
27025,3808,3808,3803,440128,440169
27026,2838,2837,2818,174882,174934
27027,1389,1389,1379,39171,39185
27028,3061,3056,3004,146197,147317
27029,3016,3014,3003,151598,152044
27030,876,876,876,68235,51401
